Sample_ID,28S,DWV,Apiary_ID
Apiary_1-225,9.455,18.255000000000003,Apiary_1
Apiary_1-226,9.094999999999999,24.675,Apiary_1
Apiary_1-227,9.315000000000001,22.675,Apiary_1
Apiary_1-228,9.375,21.03,Apiary_1
Apiary_2-201,9.225000000000001,21.04,Apiary_2
Apiary_2-202,9.295,17.994999999999997,Apiary_2
Apiary_2-203,9.42,24.03,Apiary_2
Apiary_2-204,9.535,20.515,Apiary_2
Apiary_3-221,9.455,14.625,Apiary_3
Apiary_3-222,9.705,24.845,Apiary_3
Apiary_3-223,9.775,16.979999999999997,Apiary_3
Apiary_3-224,9.59,28.229999999999997,Apiary_3
Apiary_5-423,9.595,14.785,Apiary_5
Apiary_5-424,9.84,15.1,Apiary_5
Apiary_5-425,9.455,18.03,Apiary_5
Apiary_5-428,10.085,14.18,Apiary_5
Apiary_4-431,9.79,15.17,Apiary_4
Apiary_4-433,9.105,15.504999999999999,Apiary_4
Apiary_4-435,9.27,16.555,Apiary_4
Apiary_4-436,9.54,16.31,Apiary_4
Apiary_6-205,9.18,17.33,Apiary_6
Apiary_6-206,9.275,24.5,Apiary_6
Apiary_6-207,9.315000000000001,29.22,Apiary_6
Apiary_6-208,9.344999999999999,31.6,Apiary_6
Apiary_7-121,9.3,18.95,Apiary_7
Apiary_7-122,9.54,21.785,Apiary_7
Apiary_7-123,9.315000000000001,21.085,Apiary_7
Apiary_7-124,9.385,19.505000000000003,Apiary_7
Apiary_8-102,9.52,19.009999999999998,Apiary_8
Apiary_8-104,9.27,31,Apiary_8
Apiary_8-106,9.08,28.759999999999998,Apiary_8
Apiary_8-108,9.515,19.064999999999998,Apiary_8
Apiary_9-354,10.08,30.58,Apiary_9
Apiary_9-355,10.245000000000001,33.435,Apiary_9
Apiary_9-357,9.33,29.375,Apiary_9
Apiary_9-358,9.52,30.555,Apiary_9
Apiary_10-342,8.835,16.785,Apiary_10
Apiary_10-343,9.5,14.165,Apiary_10
Apiary_10-344,9.54,14.795,Apiary_10
Apiary_10-350,9.965,16.835,Apiary_10
Apiary_11-109,9.015,16.134999999999998,Apiary_11
Apiary_11-110,9.40375,14.58125,Apiary_11
Apiary_11-111,8.96,20.665,Apiary_11
Apiary_11-112,9.21,28.526666666666667,Apiary_11
Apiary_12-117,9.283333333333333,35.805,Apiary_12
Apiary_12-118,9.39,27.035,Apiary_12
Apiary_12-119,10.06,22.02,Apiary_12
Apiary_12-120,9.898,36.375,Apiary_12
Apiary_13-381,9.795,26.305,Apiary_13
Apiary_13-382,10.045,16.045,Apiary_13
Apiary_13-383,9.435,20.935000000000002,Apiary_13
Apiary_13-388,9.515,25.345,Apiary_13
Apiary_14-393,9.955,22.76,Apiary_14
Apiary_14-397,10.2,20.375,Apiary_14
Apiary_14-398,10.195,22.965,Apiary_14
Apiary_14-400,9.695,17.28,Apiary_14
Apiary_15-125,10.07,28.305,Apiary_15
Apiary_15-126,10.135,24.884999999999998,Apiary_15
Apiary_15-127,9.835,15.32,Apiary_15
Apiary_15-128,8.965,16.84,Apiary_15
Apiary_16-209,9.39,28.65,Apiary_16
Apiary_16-210,9.535,33.18,Apiary_16
Apiary_16-211,10.108333333333333,32.998333333333335,Apiary_16
Apiary_16-212,9.973333333333334,35,Apiary_16
Apiary_17-362,9.985,17.990000000000002,Apiary_17
Apiary_17-363,9.225,25.22,Apiary_17
Apiary_17-368,9.5,22.060000000000002,Apiary_17
Apiary_17-370,10.436666666666667,34.53,Apiary_17
Apiary_18-371,9.895,17.21,Apiary_18
Apiary_18-372,9.43,26.24,Apiary_18
Apiary_18-373,9.969999999999999,28.14,Apiary_18
Apiary_18-378,9.1,25.945,Apiary_18
Apiary_19-412,9.695,35.379999999999995,Apiary_19
Apiary_19-414,9.55,24.105,Apiary_19
Apiary_19-415,8.69,31.119999999999997,Apiary_19
Apiary_19-416,9.675,30.295,Apiary_19
Apiary_20-401,9.065000000000001,36.1,Apiary_20
Apiary_20-402,9.95,33.905,Apiary_20
Apiary_20-403,9.28,22.225,Apiary_20
Apiary_20-404,9.33,33.105000000000004,Apiary_20
Apiary_21-323,9.98,23.15,Apiary_21
Apiary_21-324,9.975,17.91,Apiary_21
Apiary_21-326,9.745000000000001,22.615000000000002,Apiary_21
Apiary_21-330,9.030000000000001,30.35,Apiary_21
Apiary_22-229,10.186666666666666,36.3,Apiary_22
Apiary_22-230,9.25,32.525000000000006,Apiary_22
Apiary_22-231,9.530000000000001,33.36,Apiary_22
Apiary_22-232,10.135000000000002,19.3,Apiary_22
Apiary_23-113,10.26,23.384999999999998,Apiary_23
Apiary_23-114,10.08,25.805,Apiary_23
Apiary_23-115,9.145,29.46,Apiary_23
Apiary_23-116,9.405000000000001,31.815,Apiary_23
Apiary_24-213,9.52,27.05,Apiary_24
Apiary_24-214,10.136666666666667,33.650000000000006,Apiary_24
Apiary_24-215,9.37,19.225,Apiary_24
Apiary_24-216,9.8,27.225,Apiary_24
Apiary_25-217,9.625,25.94,Apiary_25
Apiary_25-218,9.866666666666667,36.665,Apiary_25
Apiary_25-219,9.195,19.585,Apiary_25
Apiary_25-220,9.934999999999999,17.415,Apiary_25
Apiary_26-313,9.54,16.29,Apiary_26
Apiary_26-314,9.09,18.005,Apiary_26
Apiary_26-315,9.51,16.82,Apiary_26
Apiary_26-316,9.265,18.67,Apiary_26
Apiary_27-302,9.295,26.93,Apiary_27
Apiary_27-304,9.350000000000001,33.185,Apiary_27
Apiary_27-306,9.16,32.614999999999995,Apiary_27
Apiary_27-307,9.455,31.045,Apiary_27
